turns, p
143, 0.001003
144, 0.000962
145, 0.000945
146, 0.000952
147, 0.000901
148, 0.000862
149, 0.000839
150, 0.000836
151, 0.000828
152, 0.000745
153, 0.00074
154, 0.000779
155, 0.000791
156, 0.00073
157, 0.0008
158, 0.000756
159, 0.000675
160, 0.000691
161, 0.000643
162, 0.000616
163, 0.000598
164, 0.000613
165, 0.000624
166, 0.000577
167, 0.00058
168, 0.000573
169, 0.000516
170, 0.000558
171, 0.000528
172, 0.000497
173, 0.00049
174, 0.000508
175, 0.000451
176, 0.000426
177, 0.000446
178, 0.000421
179, 0.000445
180, 0.000401
181, 0.000412
182, 0.000407
183, 0.000421
184, 0.000366
185, 0.000361
186, 0.000367
187, 0.000298
188, 0.000361
189, 0.000314
190, 0.000347
191, 0.000319
192, 0.000308
193, 0.000289
194, 0.000306
195, 0.000306
196, 0.000316
197, 0.000296
198, 0.000274
199, 0.00028
200, 0.000278
201, 0.000254
202, 0.000227
203, 0.000259
204, 0.000251
205, 0.000242
206, 0.00025
207, 0.000219
208, 0.000243
209, 0.000223
210, 0.000212
211, 0.000218
212, 0.00021
213, 0.000216
214, 0.000208
215, 0.000202
216, 0.000196
217, 0.00017
218, 0.000164
219, 0.000184
220, 0.000185
221, 0.000147
222, 0.000167
223, 0.000164
224, 0.000172
225, 0.000161
226, 0.000152
227, 0.000136
228, 0.000128
229, 0.000123
230, 0.000146
231, 0.000145
232, 0.000135
233, 0.000122
234, 0.000135
235, 0.000136
236, 0.000121
237, 0.000133
238, 0.0001
239, 0.000125
240, 0.000113
241, 0.000106
242, 0.000091
243, 0.000102
244, 0.000103
245, 0.000109
246, 0.000097
247, 0.000088
248, 0.00009
249, 0.0001
250, 0.000088
251, 0.000087
252, 0.000091
253, 0.000076
254, 0.000093
255, 0.000076
256, 0.000067
257, 0.000067
258, 0.000062
259, 0.000076
260, 0.000066
261, 0.00007
262, 0.000067
263, 0.000067
264, 0.000064
265, 0.000042
266, 0.000059
267, 0.000054
268, 0.000051
269, 0.000059
270, 0.000049
271, 0.000046
272, 0.000053
273, 0.000054
274, 0.000049
275, 0.000053
276, 0.000049
277, 0.000047
278, 0.000045
279, 0.000041
280, 0.000054
281, 0.00004
282, 0.000038
283, 0.00003
284, 0.000035
285, 0.000048
286, 0.000034
287, 0.00004
288, 0.000032
289, 0.000038
290, 0.000025
291, 0.000034
292, 0.000028
293, 0.00004
294, 0.000027
295, 0.000042
296, 0.000028
297, 0.000032
298, 0.00003
299, 0.000026
300, 0.000022
301, 0.00002
302, 0.000031
303, 0.00003
304, 0.000024
305, 0.000023
306, 0.000028
307, 0.000021
308, 0.000023
309, 0.000025
310, 0.000021
311, 0.000027
312, 0.000026
313, 0.000021
314, 0.000016
315, 0.000015
316, 0.000025
317, 0.000012
318, 0.000021
319, 0.000014
320, 0.000014
321, 0.000018
322, 0.000021
323, 0.000016
324, 0.000013
325, 0.000021
326, 0.000014
327, 0.000013
328, 0.000016
329, 0.000013
330, 0.000015
331, 0.000012
332, 0.000012
333, 0.000008
334, 0.000015
335, 0.00001
336, 0.000007
337, 0.000014
338, 0.000013
339, 0.000012
340, 0.000011
341, 0.000014
342, 0.000009
343, 0.00001
344, 0.000006
345, 0.00001
346, 0.000006
347, 0.000005
348, 0.000006
349, 0.000007
350, 0.000012
351, 0.000009
352, 0.000007
353, 0.000007
354, 0.000008
355, 0.000006
356, 0.000006
357, 0.000009
358, 0.00001
359, 0.000008
360, 0.000008
361, 0.000007
362, 0.000007
363, 0.000006
364, 0.000007
365, 0.000006
366, 0.000005
367, 0.000006
368, 0.000006
369, 0.000006
370, 0.000006
371, 0.000003
372, 0.000005
373, 0.000006
374, 0.000001
375, 0.000003
376, 0.000004
377, 0.000006
378, 0.000001
379, 0.000006
380, 0.000006
381, 0.000007
382, 0.000003
383, 0.000002
384, 0.000003
385, 0.000004
386, 0.000003
387, 0.000005
388, 0.000001
389, 0.000003
390, 0.000002
391, 0.000003
392, 0.000004
393, 0.000001
394, 0.000005
395, 0.000002
396, 0.000006
397, 0.000005
398, 0.000002
399, 0.000005
400, 0.000001
401, 0.000004
402, 0.000002
403, 0.000005
404, 0.000005
405, 0.000003
406, 0.000002
407, 0.000004
408, 0.000005
409, 0
410, 0.000001
411, 0.000002
412, 0.000002
413, 0.000001
414, 0.000003
415, 0.000001
416, 0.000002
417, 0
418, 0.000004
419, 0
420, 0.000003
421, 0.000002
422, 0.000001
423, 0.000001
424, 0.000002
425, 0
426, 0.000001
427, 0.000001
428, 0
429, 0.000002
430, 0.000004
431, 0.000001
432, 0.000002
433, 0
434, 0.000002
435, 0.000002
436, 0
437, 0.000001
438, 0
439, 0
440, 0
441, 0
442, 0
443, 0.000002
444, 0.000001
445, 0.000002
446, 0.000001
447, 0.000002
448, 0.000002
449, 0
450, 0
451, 0.000002
452, 0.000001
453, 0
454, 0.000001
455, 0.000001
456, 0.000001
457, 0
458, 0
459, 0
460, 0
461, 0.000001
462, 0
463, 0
464, 0.000001
465, 0
466, 0
467, 0
468, 0
469, 0
470, 0
471, 0.000001
472, 0.000001
473, 0
474, 0.000001
475, 0
476, 0
477, 0.000001
478, 0.000001
479, 0
480, 0.000001
481, 0.000001
482, 0.000001
483, 0
484, 0
485, 0
486, 0
487, 0
488, 0
489, 0
490, 0
491, 0
492, 0
493, 0
494, 0.000001
495, 0
496, 0.000001
497, 0
498, 0
499, 0
500, 0
501, 0.000001
502, 0
503, 0
504, 0
505, 0
506, 0
507, 0
508, 0
509, 0
510, 0.000001
511, 0.000002
512, 0
513, 0
514, 0
515, 0
516, 0
517, 0
518, 0
519, 0
520, 0
521, 0
522, 0
523, 0
524, 0
525, 0
526, 0
527, 0
528, 0
529, 0.000001
530, 0
531, 0
532, 0
533, 0
534, 0
535, 0
536, 0
537, 0
538, 0
539, 0
540, 0
541, 0
542, 0.000001
543, 0
544, 0
545, 0
546, 0
547, 0
548, 0
549, 0
550, 0
551, 0
552, 0
553, 0
554, 0
555, 0
556, 0
557, 0
558, 0
559, 0
560, 0.000001
561, 0
562, 0
563, 0
564, 0
565, 0
566, 0
567, 0
568, 0
569, 0
570, 0
571, 0
572, 0
573, 0
574, 0
575, 0.000001
576, 0
577, 0
578, 0
579, 0
580, 0
581, 0
582, 0
583, 0
584, 0
585, 0
586, 0
587, 0
588, 0
589, 0
590, 0
591, 0
592, 0.000001
593, 0
594, 0
595, 0
596, 0
597, 0
598, 0
599, 0
600, 0
601, 0
602, 0
603, 0
604, 0
605, 0
606, 0
607, 0
608, 0
609, 0
610, 0
611, 0
612, 0
613, 0
614, 0
615, 0
616, 0
617, 0
618, 0
619, 0
620, 0
621, 0
622, 0
623, 0
624, 0
625, 0
626, 0
627, 0
628, 0
629, 0
630, 0
631, 0
632, 0
633, 0
634, 0
635, 0
636, 0
637, 0
638, 0
639, 0
640, 0
641, 0
642, 0
643, 0
644, 0
645, 0.000001
646, 0
647, 0
648, 0
649, 0
650, 0
651, 0
652, 0
653, 0
654, 0
655, 0
656, 0
657, 0
658, 0
659, 0
660, 0
661, 0
662, 0
663, 0
664, 0
665, 0
666, 0
667, 0
668, 0
669, 0
670, 0
671, 0
672, 0
673, 0
674, 0
675, 0
676, 0
677, 0
678, 0
679, 0
680, 0
681, 0
682, 0
683, 0
684, 0
685, 0
686, 0
687, 0
688, 0
689, 0
690, 0
691, 0
692, 0
693, 0
694, 0
695, 0
696, 0
697, 0
698, 0
699, 0.000001
700, 0
701, 0
702, 0
703, 0
704, 0
705, 0
706, 0
707, 0
708, 0
709, 0
710, 0
711, 0
712, 0
713, 0
714, 0
715, 0
716, 0
717, 0
718, 0
719, 0
720, 0
721, 0
722, 0
723, 0
724, 0
725, 0
726, 0
727, 0
728, 0
729, 0
730, 0
731, 0
732, 0
733, 0
734, 0
735, 0
736, 0
737, 0
738, 0
739, 0
740, 0
741, 0
742, 0
743, 0
744, 0
745, 0
746, 0
747, 0
748, 0.000001
