turns, p
1, 0
2, 0.000069
3, 0.001167
4, 0.006017
5, 0.013405
6, 0.019729
7, 0.023932
8, 0.025841
9, 0.026443
10, 0.026595
11, 0.027729
12, 0.028968
13, 0.02908
14, 0.029529
15, 0.028559
16, 0.027873
17, 0.026879
18, 0.026251
19, 0.025208
20, 0.024439
21, 0.023195
22, 0.022642
23, 0.021583
24, 0.020354
25, 0.019619
26, 0.018976
27, 0.018178
28, 0.017841
29, 0.016937
30, 0.01602
31, 0.015853
32, 0.014803
33, 0.014323
34, 0.01375
35, 0.013233
36, 0.012933
37, 0.01227
38, 0.011571
39, 0.011274
40, 0.010846
41, 0.010364
42, 0.009693
43, 0.009461
44, 0.009329
45, 0.008738
46, 0.008272
47, 0.008096
48, 0.007717
49, 0.007528
50, 0.007141
51, 0.006751
52, 0.006428
53, 0.006337
54, 0.00602
55, 0.005784
56, 0.005697
57, 0.005398
58, 0.005153
59, 0.004992
60, 0.004767
61, 0.004608
62, 0.004533
63, 0.004194
64, 0.00402
65, 0.00392
66, 0.003553
67, 0.003479
68, 0.003412
69, 0.003351
70, 0.003213
71, 0.002951
72, 0.002934
73, 0.002707
74, 0.002545
75, 0.002563
76, 0.00245
77, 0.002439
78, 0.002209
79, 0.002106
80, 0.002077
81, 0.00196
82, 0.001895
83, 0.001829
84, 0.001794
85, 0.00169
86, 0.001589
87, 0.001469
88, 0.0014
89, 0.00147
90, 0.001382
91, 0.001344
92, 0.001238
93, 0.001152
94, 0.001187
95, 0.001095
96, 0.001054
97, 0.001048
98, 0.001002
99, 0.00099
100, 0.000846
101, 0.000877
102, 0.000843
103, 0.000809
104, 0.000771
105, 0.000742
106, 0.000725
107, 0.000696
108, 0.000624
109, 0.000624
110, 0.000588
111, 0.000553
112, 0.000548
113, 0.00054
114, 0.000501
115, 0.000507
116, 0.000446
117, 0.000449
118, 0.000442
119, 0.000397
120, 0.000382
121, 0.000366
122, 0.000367
123, 0.000341
124, 0.000366
125, 0.000344
126, 0.000282
127, 0.000298
128, 0.000278
129, 0.000305
130, 0.000269
131, 0.000249
132, 0.000277
133, 0.00021
134, 0.000235
135, 0.000203
136, 0.000206
137, 0.000213
138, 0.000219
139, 0.000183
140, 0.000169
141, 0.00017
142, 0.000167
143, 0.000164
144, 0.000149
145, 0.000149
146, 0.000109
147, 0.000116
148, 0.00014
149, 0.000135
150, 0.000111
151, 0.000119
152, 0.000121
153, 0.000107
154, 0.0001
155, 0.000115
156, 0.000092
157, 0.000089
158, 0.000085
159, 0.000085
160, 0.000082
161, 0.000067
162, 0.000069
163, 0.00007
164, 0.000061
165, 0.000073
166, 0.000073
167, 0.000056
168, 0.000066
169, 0.000061
170, 0.000052
171, 0.000047
172, 0.000041
173, 0.000045
174, 0.000051
175, 0.000034
176, 0.000052
177, 0.000024
178, 0.000046
179, 0.000045
180, 0.00003
181, 0.000028
182, 0.000034
183, 0.000033
184, 0.00004
185, 0.000026
186, 0.000021
187, 0.000025
188, 0.000029
189, 0.000019
190, 0.000032
191, 0.000021
192, 0.00002
193, 0.000022
194, 0.000026
195, 0.000011
196, 0.000018
197, 0.000017
198, 0.000011
199, 0.000011
200, 0.000012
201, 0.000017
202, 0.000015
203, 0.000012
204, 0.000013
205, 0.000008
206, 0.000011
207, 0.000013
208, 0.000013
209, 0.000011
210, 0.000011
211, 0.00001
212, 0.00001
213, 0.000007
214, 0.000008
215, 0.000005
216, 0.000005
217, 0.000006
218, 0.000005
219, 0.000011
220, 0.000008
221, 0.000003
222, 0.000003
223, 0.000009
224, 0.000003
225, 0.000009
226, 0.000007
227, 0.000006
228, 0.000006
229, 0.000004
230, 0.000007
231, 0.000005
232, 0.000002
233, 0.000005
234, 0.000004
235, 0.000001
236, 0
237, 0.000003
238, 0.000006
239, 0.000002
240, 0.000006
241, 0.000001
242, 0.000002
243, 0.000002
244, 0.000003
245, 0.000002
246, 0.000003
247, 0.000003
248, 0
249, 0.000006
250, 0.000001
251, 0.000002
252, 0.000003
253, 0.000002
254, 0.000002
255, 0.000001
256, 0.000001
257, 0.000002
258, 0.000001
259, 0
260, 0.000001
261, 0.000001
262, 0.000003
263, 0.000003
264, 0
265, 0.000002
266, 0
267, 0
268, 0
269, 0.000002
270, 0
271, 0
272, 0
273, 0
274, 0
275, 0.000001
276, 0
277, 0
278, 0.000002
279, 0.000001
280, 0.000001
281, 0.000001
282, 0
283, 0.000002
284, 0
285, 0
286, 0
287, 0
288, 0
289, 0.000001
290, 0.000001
291, 0
292, 0
293, 0.000002
294, 0
295, 0
296, 0
297, 0
298, 0
299, 0
300, 0
301, 0
302, 0.000001
303, 0
304, 0
305, 0
306, 0
307, 0
308, 0
309, 0
310, 0
311, 0
312, 0
313, 0.000001
314, 0
315, 0
316, 0
317, 0
318, 0
319, 0
320, 0
321, 0
322, 0
323, 0
324, 0
325, 0
326, 0
327, 0
328, 0
329, 0
330, 0
331, 0
332, 0
333, 0
334, 0
335, 0
336, 0
337, 0
338, 0.000001
